SIREN;Famille ID;Brevet;Date de Dépôt;Année de Dépôt;2016;2017;2018;2019;2020;2021;2022;2023;2024
334 192 903;9543831;ES2265329T3;08/03/2000;2000;0;0;0;0;0;0;0;0;0
334 192 903;9479514;DE19615160A1;17/04/1996;1996;0;0;0;0;0;0;0;0;0
334 192 903;26234954;FR2793518A1;04/06/1999;1999;0;0;0;0;0;0;0;0;0
334 192 903;35311140;FR2883323A1;21/03/2005;2005;0;0;0;0;0;0;0;0;0
334 192 903;9525783;FR2777941B1;23/04/1998;1998;0;0;0;0;0;0;0;0;0
334 192 903;9541572;FR2797695A1;02/02/1999;1999;0;0;0;0;0;0;0;0;0
334 192 903;34949273;FR2875531A1;21/09/2004;2004;0;0;0;0;0;0;0;0;0
334 192 903;49998490;PL2873783T3;10/11/2014;2014;0;0;0;0;0;0;0;0;0
334 192 903;43383568;PL2567055T3;03/05/2011;2011;0;0;0;0;0;0;0;0;0
334 192 903;9476593;DE69602476T2;16/02/1996;1996;0;0;0;0;0;0;0;0;0
334 192 903;9278282;FR2534623A1;13/10/1982;1982;0;0;0;0;0;0;0;0;0
334 192 903;44119534;WO2012059672A2;28/10/2011;2011;0;0;0;0;0;0;0;0;0
334 192 903;38038432;PL1914770T3;09/10/2007;2007;0;0;0;0;0;0;0;0;0
334 192 903;39800104;FR2927116A1;04/02/2008;2008;0;0;0;0;0;0;0;0;0
334 192 903;43648703;FR2963050B1;23/07/2010;2010;0;0;0;0;0;0;0;0;0
334 192 903;9479514;FR2734600B1;24/05/1995;1995;0;0;0;0;0;0;0;0;0
334 192 903;57965859;PL3205810T3;13/02/2017;2017;0;1;0;0;0;0;0;0;0
334 192 903;26232070;DE69605983T2;13/06/1996;1996;0;0;0;0;0;0;0;0;0
334 192 903;8852333;ES2194823T3;05/07/2001;2001;0;0;0;0;0;0;0;0;0
334 192 903;53758376;EP3098370B1;28/04/2016;2016;1;0;0;0;0;0;0;0;0
334 192 903;26234796;FR2797696A1;01/03/1999;1999;0;0;0;0;0;0;0;0;0
334 192 903;34942540;EP1589183B1;12/04/2005;2005;0;0;0;0;0;0;0;0;0
334 192 903;9541105;FR2788556B1;20/01/1999;1999;0;0;0;0;0;0;0;0;0
334 192 903;36540157;FR2890097A1;30/08/2005;2005;0;0;0;0;0;0;0;0;0
334 192 903;9330950;ES2000083A4;10/12/1986;1986;0;0;0;0;0;0;0;0;0
334 192 903;None;DE602007000108D1;;None;0;0;0;0;0;0;0;0;0
334 192 903;54366308;PL3121942T3;25/07/2016;2016;1;0;0;0;0;0;0;0;0
334 192 903;None;IN10136DEN2012A;;None;0;0;0;0;0;0;0;0;0
334 192 903;40364387;ES2454651T3;03/07/2009;2009;0;0;0;0;0;0;0;0;0
334 192 903;46582643;ES2542897T3;16/07/2012;2012;0;0;0;0;0;0;0;0;0
334 192 903;9502528;FR2758157B1;08/01/1997;1997;0;0;0;0;0;0;0;0;0
334 192 903;None;DE602005007414D1;;None;0;0;0;0;0;0;0;0;0
334 192 903;9502527;FR2758156B1;08/01/1997;1997;0;0;0;0;0;0;0;0;0
334 192 903;8861609;ES2215156T3;27/03/2002;2002;0;0;0;0;0;0;0;0;0
334 192 903;39322535;EP2037078B1;04/09/2008;2008;0;0;0;0;0;0;0;0;0
334 192 903;34947302;FR2873399B1;20/07/2004;2004;0;0;0;0;0;0;0;0;0
334 192 903;None;TR200901540T4;;None;0;0;0;0;0;0;0;0;0
334 192 903;34942588;DE602005000370T2;02/05/2005;2005;0;0;0;0;0;0;0;0;0
334 192 903;26233447;FR2761402A1;15/09/1997;1997;0;0;0;0;0;0;0;0;0
334 192 903;55135347;EP3165704B1;25/10/2016;2016;1;0;0;0;0;0;0;0;0
334 192 903;9365720;FR2630493B1;22/04/1988;1988;0;0;0;0;0;0;0;0;0
334 192 903;26233447;EP0869255A1;26/03/1998;1998;0;0;0;0;0;0;0;0;0
334 192 903;46582644;FR2978484B1;28/07/2011;2011;0;0;0;0;0;0;0;0;0
334 192 903;9495834;FR2753480B1;13/09/1996;1996;0;0;0;0;0;0;0;0;0
334 192 903;40394160;EP2148040B1;20/07/2009;2009;0;0;0;0;0;0;0;0;0
334 192 903;9476593;EP0730080B1;16/02/1996;1996;0;0;0;0;0;0;0;0;0
334 192 903;37307207;FR2896264B1;17/01/2006;2006;0;0;0;0;0;0;0;0;0
334 192 903;9495834;DE29716446U1;12/09/1997;1997;0;0;0;0;0;0;0;0;0
334 192 903;9480957;FR2736677A1;10/07/1995;1995;0;0;0;0;0;0;0;0;0
334 192 903;48047927;ES2550393T3;12/04/2013;2013;0;0;0;0;0;0;0;0;0
334 192 903;40336363;FR2932212B1;09/06/2008;2008;0;0;0;0;0;0;0;0;0
334 192 903;34947080;FR2873153B1;16/07/2004;2004;0;0;0;0;0;0;0;0;0
334 192 903;31502977;EP1523630B8;29/08/2003;2003;0;0;0;0;0;0;0;0;0
334 192 903;49484311;PL2845983T3;22/08/2014;2014;0;0;0;0;0;0;0;0;0
334 192 903;43383568;WO2011138556A3;03/05/2011;2011;0;0;0;0;0;0;0;0;0
334 192 903;36388400;FR2891387A1;23/09/2005;2005;0;0;0;0;0;0;0;0;0
334 192 903;59296958;PL3388609T3;12/03/2018;2018;0;0;1;0;0;0;0;0;0
334 192 903;31502977;EP1523630A2;29/08/2003;2003;0;0;0;0;0;0;0;0;0
334 192 903;9541104;FR2788555B1;20/01/1999;1999;0;0;0;0;0;0;0;0;0
334 192 903;34953423;FR2880054A1;23/12/2004;2004;0;0;0;0;0;0;0;0;0
334 192 903;40872459;FR2939469A1;10/12/2008;2008;0;0;0;0;0;0;0;0;0
334 192 903;8861747;EP1245779B1;13/02/2002;2002;0;0;0;0;0;0;0;0;0
334 192 903;9544607;FR2792361A1;16/04/1999;1999;0;0;0;0;0;0;0;0;0
334 192 903;26231790;EP0728905B1;26/02/1996;1996;0;0;0;0;0;0;0;0;0
334 192 903;34949273;EP1637693B1;16/09/2005;2005;0;0;0;0;0;0;0;0;0
334 192 903;43607703;PL2423427T3;05/07/2011;2011;0;0;0;0;0;0;0;0;0
334 192 903;48040350;FR2999638B1;18/12/2012;2012;0;0;0;0;0;0;0;0;0
334 192 903;50137886;EP2886782B1;16/12/2014;2014;0;0;0;0;0;0;0;0;0
334 192 903;None;DE60231580D1;;None;0;0;0;0;0;0;0;0;0
334 192 903;26231790;ES2132865T3;26/02/1996;1996;0;0;0;0;0;0;0;0;0
334 192 903;35170198;FR2878886A1;02/12/2004;2004;0;0;0;0;0;0;0;0;0
334 192 903;9541573;ES2250090T3;27/01/2000;2000;0;0;0;0;0;0;0;0;0
334 192 903;9524921;FR2777037A1;02/04/1998;1998;0;0;0;0;0;0;0;0;0
334 192 903;36177350;EP1674647A3;22/12/2005;2005;0;0;0;0;0;0;0;0;0
334 192 903;35998445;EP1760249B1;06/07/2006;2006;0;0;0;0;0;0;0;0;0
334 192 903;38951318;EP1997999B1;22/05/2008;2008;0;0;0;0;0;0;0;0;0
