SIREN;Famille ID;Brevet;Date de Dépôt;Année de Dépôt;2016;2017;2018;2019;2020;2021;2022;2023;2024
500 172 796;9412786.0;EP0585316A1;06/05/1992;1992.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 172 796;9462824.0;EP0757774A1;28/04/1995;1995.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 172 796;9242041.0;EP0040166B1;08/05/1981;1981.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 172 796;9467281.0;EP0782472A1;19/09/1995;1995.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 172 796;9378512.0;EP0381601A1;30/01/1990;1990.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 172 796;9224029.0;EP0026185A1;23/10/1980;1980.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 172 796;9475602.0;EP0723801A1;24/01/1996;1996.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 172 796;9453563.0;EP0731726A1;30/11/1994;1994.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 172 796;9434757.0;EP0664728A1;13/10/1993;1993.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 172 796;9379224.0;EP0384866A1;22/02/1990;1990.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 212 188;68210849.0;EP3927400A1;18/02/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
500 440 813;42938436.0;FR2962618B1;09/07/2010;2010.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 440 813;51014510.0;WO2015162018A1;10/04/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 440 813;54291442.0;WO2017001573A1;30/06/2016;2016.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 440 813;70738625.0;FR3105675B1;19/12/2019;2019.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
500 440 813;53541692.0;EP3238451B1;22/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 440 813;69903508.0;FR3105700B1;19/12/2019;2019.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
500 440 813;52692869.0;WO2016102893A1;22/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 440 813;51014510.0;ES2701511T3;10/04/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 440 813;42938436.0;FR2962618A1;09/07/2010;2010.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500 440 813;52692869.0;EP3238020A1;22/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
