siren,2016_CIR,2017_CIR,2018_CIR,2019_CIR,2020_CIR,2021_CIR,2022_CIR,2023_CIR
500007802,,,,0.0,0.0,,,
500043880,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
500051495,145000.0,158000.0,0.0,,,,,
500087242,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
500144969,,,0.0,0.0,,0.0,0.0,0.0
500162524,,,,0.0,0.0,0.0,0.0,0.0
500172796,74080.0,0.0,0.0,0.0,0.0,,,
500173950,0.0,0,0.0,0.0,0.0,0,0.0,0.0
500212188,0.0,313334.0,0.0,0.0,0.0,12514145.0,0.0,0.0
500229398,0.0,0,0.0,0.0,0.0,0.0,0,0.0
500274972,,,0.0,0.0,0.0,0,0.0,293353.0
500286638,85440.0,,0,0.0,0,0.0,0.0,0.0
500312798,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
500363254,236227.0,244494.0,218915,256395.0,403363,430974.0,0.0,0.0
500440813,0.0,11077656.0,4353095.0,4662143.0,3053529.0,4659805,15312468.0,0.0
500528377,0.0,,,,,,,
500532817,,,,,0.0,0.0,0,0.0
500548995,0,15294.0,0.0,0.0,0.0,0.0,0.0,0.0
500563606,0.0,0,0.0,0.0,0.0,0.0,0,0.0
500620489,0,9535.0,15121.0,0.0,0.0,0.0,0.0,0.0
500644554,0.0,24267.0,0.0,,0.0,0,0.0,0.0
500667027,0,0.0,0.0,0.0,0.0,0.0,,
500717103,48000.0,0,1513821.0,0.0,0.0,97395.0,,
500757901,33419.0,44000,,81000.0,60000.0,36000.0,36000,
500771233,,,0.0,,,0.0,,0.0
500806633,0.0,0.0,0.0,379111.0,,,,
500816095,0.0,0.0,0.0,0.0,,,0.0,
500881198,,0.0,,0.0,0,0.0,0.0,0.0
500895545,0.0,0.0,0.0,0.0,0.0,0,0.0,
500925706,,,,,,0,0.0,0.0
500932389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500933452,0.0,0,,0.0,0.0,0.0,,
500960034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
500971601,0.0,0.0,0.0,0.0,0.0,0,0.0,
501003404,156000.0,156000.0,0.0,0.0,0.0,0,0.0,0.0
501029565,0.0,0.0,0,0.0,0,0.0,0.0,0.0
501039341,0,0.0,0.0,0.0,0.0,0.0,0.0,
501093744,0.0,0,,0.0,0.0,0.0,0,0.0
501097760,0.0,0.0,0.0,0.0,0,80374.0,0.0,0.0
501105498,,,0,0.0,0,0.0,0.0,
501119093,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
501161798,2550000.0,2933000,3573000.0,3818828.0,3996248.0,6042670.0,2307076,1900030.0
