siren     ,2016_CIR    ,2017_CIR    ,2018_CIR    ,2019_CIR   ,2020_CIR    ,2021_CIR    ,2022_CIR    ,2023_CIR
400054383 ,0.0         ,0.0         ,0.0         ,0.0        ,48413.0     ,0.0         ,0.0         ,0.0
400072997 ,1108172.0   ,928011.0    ,1009406.0   ,1253358.0  ,1337105.0   ,1304625.0   ,204000.0    ,1086745.0
400131116 ,            ,0.0         ,0.0         ,0.0        ,11730.0     ,0.0         ,0.0         ,
400132627 ,0.0         ,0.0         ,148850.0    ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
400149647 ,7100000.0   ,0.0         ,8939000.0   ,6500000.0  ,4100000.0   ,4400000.0   ,3900000.0   ,
400214888 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
400256780 ,91000.0     ,83000.0     ,61000.0     ,28000.0    ,0.0         ,85000.0     ,97000.0     ,24000.0
400300190 ,37739.0     ,            ,            ,           ,            ,            ,            ,
400305223 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
400332524 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,            ,            ,0.0
400357885 ,544000.0    ,1627000.0   ,1957000.0   ,1878000.0  ,2206000.0   ,0.0         ,1850000.0   ,1665000.0
400370250 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
400374682 ,0.0         ,            ,            ,           ,            ,            ,            ,
400449443 ,            ,            ,            ,0.0        ,            ,0.0         ,0.0         ,0.0
400452173 ,            ,            ,            ,           ,0.0         ,            ,0.0         ,
400507414 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,oui
400513602 ,0.0         ,27385.0     ,0.0         ,37555.0    ,0.0         ,0.0         ,0.0         ,0.0
400575569 ,0.0         ,0.0         ,73541.0     ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
400597654 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
400604377 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
400741740 ,72566.0     ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
400838876 ,            ,            ,            ,0.0        ,3100.0      ,0.0         ,            ,
400865705 ,            ,            ,            ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
400894424 ,0.0         ,            ,56431.0     ,63.0       ,283446.0    ,21000.0     ,0.0         ,55000.0
400916979 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
401048186 ,9653.0      ,0.0         ,0.0         ,           ,0.0         ,0.0         ,0.0         ,
401077938 ,47345.0     ,50130.0     ,0.0         ,0.0        ,0.0         ,141000.0    ,32127.0     ,45000.0
401190376 ,            ,1083660.0   ,548574.0    ,559178.0   ,            ,530243.0    ,548020.0    ,0.0
401250626 ,0.0         ,0.0         ,9648.0      ,           ,0.0         ,0.0         ,0.0         ,0.0
401315999 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
401324843 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
401336342 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
401343637 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
401369772 ,            ,            ,            ,           ,oui         ,            ,            ,
401395009 ,0.0         ,0.0         ,0.0         ,43019.0    ,0.0         ,0.0         ,            ,10539.0
401440268 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
401449855 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,            ,0.0
401502661 ,0.0         ,0.0         ,48450.0     ,105984.0   ,137160.0    ,165454.0    ,151301.0    ,106000.0
401503792 ,0.0         ,61109.0     ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,100000.0
401513056 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,            ,            ,
401560198 ,0.0         ,0.0         ,0.0         ,0.0        ,            ,0.0         ,            ,
401595483 ,0.0         ,0.0         ,1038342.0   ,0.0        ,800000.0    ,2191586.0   ,2500000.0   ,oui
401630934 ,33453.0     ,21213.0     ,0.0         ,           ,24660.0     ,3948.0      ,0.0         ,0.0
401666565 ,0.0         ,            ,15149.0     ,6875.0     ,14248.0     ,0.0         ,0.0         ,
401686795 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
401725114 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,            ,0.0         ,
401791959 ,1468283.0   ,1455276.0   ,1590270.0   ,1433081.0  ,1512497.0   ,695431.0    ,600090.0    ,62500.0
401802087 ,359031.0    ,406617.0    ,474848.0    ,492912.0   ,497780.0    ,499991.0    ,549503.0    ,593897.0
401872510 ,0.0         ,0.0         ,7773.92     ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
401878699 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
401882568 ,            ,            ,            ,           ,            ,0.0         ,0.0         ,0.0
401898457 ,366294.0    ,            ,377629.0    ,329040.0   ,0.0         ,0.0         ,0.0         ,
401910617 ,0.0         ,0.0         ,            ,684630.0   ,0.0         ,0.0         ,0.0         ,0.0
401971015 ,oui         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
401993712 ,0.0         ,0.0         ,0.0         ,0.0        ,            ,0.0         ,            ,
402011175 ,953000.0    ,370000.0    ,980000.0    ,1205000.0  ,1154612.0   ,941485.0    ,811871.0    ,808759.0
402043822 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,            ,0.0
402095509 ,20869.57    ,52842.16    ,0.0         ,0.0        ,0.0         ,61171.0     ,0.0         ,
402112403 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
402114474 ,0.0         ,0.0         ,0.0         ,90640.0    ,96455.0     ,49763.0     ,53255.0     ,40982.0
402120034 ,474000.0    ,0.0         ,0.0         ,0.0        ,389368.0    ,905787.0    ,0.0         ,
402125033 ,0.0         ,0.0         ,0.0         ,0.0        ,20153.0     ,20363.0     ,20883.0     ,31194.0
402131536 ,0.0         ,27700.0     ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
402171656 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,430655.0    ,206656.37   ,0.0
402207963 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
402222483 ,14136213.0  ,946189.0    ,808851.0    ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
402237671 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
402249783 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
402250427 ,434761.0    ,437528.0    ,435169.0    ,525232.0   ,487713.0    ,525518.0    ,515525.0    ,0.0
402261234 ,303000.0    ,393000.0    ,327000.0    ,253000.0   ,240000.0    ,0.0         ,260000.0    ,280000.0
402262752 ,            ,            ,            ,           ,            ,            ,            ,0.0
402293450 ,3687.0      ,0.0         ,0.0         ,0.0        ,3687.0      ,0.0         ,0.0         ,
402295174 ,0.0         ,0.0         ,            ,0.0        ,0.0         ,0.0         ,0.0         ,
402325674 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
402336085 ,200000.0    ,25819.0     ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
402404388 ,0.0         ,0.0         ,            ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
402406177 ,            ,0.0         ,58993.0     ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
402460174 ,0.0         ,0.0         ,475000.0    ,3090.0     ,357000.0    ,176000.0    ,572000.0    ,710000.0
402466643 ,0.0         ,0.0         ,0.0         ,1617106.0  ,249319.0    ,200000.0    ,200000.0    ,0.0
402473649 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
402481667 ,            ,            ,            ,0.0        ,            ,            ,            ,0.0
402523088 ,2000449.0   ,2196179.0   ,202337.0    ,2647934.0  ,0.0         ,2991598.0   ,2991598.0   ,3382837.0
402533707 ,            ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
402561385 ,0.0         ,            ,0.0         ,0.0        ,0.0         ,0.0         ,            ,0.0
402565147 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
402584809 ,0.0         ,            ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
402587562 ,40386.0     ,210968.0    ,10518.0     ,0.0        ,0.0         ,0.0         ,            ,
402674329 ,0.0         ,326606.0    ,0.0         ,0.0        ,0.0         ,0.0         ,8161585.0   ,6978140.0
402782262 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
402790133 ,33900.0     ,488688.0    ,0.0         ,146841.0   ,133048.0    ,50862.0     ,39169.0     ,30521.0
402896666 ,0.0         ,0.0         ,58258.0     ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
402934491 ,0.0         ,0.0         ,18452.0     ,31891.0    ,0.0         ,0.0         ,0.0         ,
402939813 ,            ,40000.0     ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
402976088 ,46000.0     ,47000.0     ,45000.0     ,0.0        ,0.0         ,0.0         ,0.0         ,28000.0
403009483 ,114133.0    ,0.0         ,0.0         ,117542.0   ,0.0         ,0.0         ,0.0         ,0.0
403033699 ,0.0         ,            ,271935.0    ,125000.0   ,0.0         ,0.0         ,0.0         ,0.0
403038037 ,278000.0    ,1162000.0   ,1070000.0   ,0.0        ,950000.0    ,981000.0    ,1063000.0   ,0.0
403076664 ,495261.0    ,443595.0    ,510742.0    ,460059.0   ,            ,            ,            ,
403090426 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
403092216 ,1788459.0   ,1246829.0   ,999293.0    ,1149355.0  ,1348874.0   ,1295710.0   ,1379273.0   ,1411559.0
403119431 ,418300.0    ,0.0         ,0.0         ,0.0        ,0.0         ,943000.0    ,0.0         ,0.0
403129422 ,199964.0    ,81995.0     ,0.0         ,0.0        ,0.0         ,0.0         ,21883.0     ,
403145303 ,oui         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
403162670 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,47000.0     ,0.0         ,63000.0
403180805 ,1411976.0   ,1484106.0   ,1827727.0   ,1841987.0  ,1448938.0   ,1081250.0   ,1172595.0   ,1188781.0
403184120 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
403184344 ,0.0         ,1117267.0   ,0.0         ,2764633.0  ,1502919.0   ,2466636.0   ,0.0         ,0.0
403197155 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
403198682 ,            ,            ,            ,           ,77000.0     ,            ,            ,75825.0
403227317 ,393470.0    ,420119.0    ,362852.0    ,162033.0   ,147507.0    ,223901.0    ,53357.0     ,
403256944 ,6.4         ,4400000.0   ,5600000.0   ,5000000.0  ,3400.0      ,2800.0      ,28000.0     ,9300000.0
403275795 ,            ,            ,            ,           ,0.0         ,0.0         ,0.0         ,0.0
403280308 ,            ,            ,            ,           ,            ,            ,            ,0.0
403283591 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
403284805 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
403287816 ,            ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
403293103 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
403308893 ,10830.0     ,0.0         ,0.0         ,0.0        ,0.0         ,145263.0    ,            ,
403331077 ,112000.0    ,12925.0     ,            ,0.0        ,0.0         ,0.0         ,            ,0.0
403331523 ,            ,            ,            ,5055.0     ,            ,            ,            ,
403340029 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
403394018 ,0.0         ,0.0         ,0.0         ,0.0        ,            ,            ,            ,
403412463 ,1490858.0   ,461772.0    ,522287.0    ,67727.0    ,0.0         ,11932.0     ,0.0         ,
403420656 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
403467574 ,            ,            ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
403505688 ,2556.0      ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
403519689 ,50145.0     ,80122.0     ,92895.0     ,85505.0    ,85269.0     ,93503.0     ,133047.0    ,88431.0
403528235 ,            ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
403561137 ,0.0         ,            ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
403583479 ,0.0         ,0.0         ,0.0         ,1060163.0  ,420252.0    ,710321.0    ,782807.0    ,
403585458 ,0.0         ,0.0         ,0.0         ,147614.0   ,147614.0    ,0.0         ,0.0         ,
403649130 ,0.0         ,0.0         ,0.0         ,225885.0   ,0.0         ,0.0         ,0.0         ,0.0
403719917 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
403748379 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,17904.643
403778079 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
403913700 ,384000.0    ,1588000.0   ,1204000.0   ,672000.0   ,563000.0    ,            ,0.0         ,210000.0
404000218 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
404051146 ,            ,            ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
404190993 ,73621.0     ,56198.0     ,51408.0     ,29975.0    ,24305.0     ,12197.0     ,12721.0     ,
404191447 ,5879000.0   ,4086000.0   ,4062000.0   ,3070000.0  ,3394000.0   ,3157000.0   ,4133000.0   ,0.0
404208035 ,457351.0    ,651010.0    ,494777.0    ,706933.0   ,688251.0    ,363657.0    ,452958.0    ,
404271470 ,3509314.0   ,2391265.0   ,            ,           ,            ,            ,            ,
404324790 ,0.0         ,0.0         ,0.0         ,1053773.0  ,0.0         ,108516.0    ,0.0         ,0.0
404366650 ,181589.0    ,0.0         ,272953.0    ,0.0        ,            ,0.0         ,            ,221867.0
404379919 ,0.0         ,0.0         ,0.0         ,           ,32000.0     ,0.0         ,0.0         ,0.0
404418055 ,            ,            ,0.0         ,0.0        ,0.0         ,0.0         ,            ,
404536922 ,905000.0    ,389249.0    ,1069000.0   ,1021000.0  ,399996.0    ,501075.0    ,499992.0    ,561839.0
404570160 ,0.0         ,            ,            ,0.0        ,0.0         ,0.0         ,0.0         ,
404840639 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
404842064 ,0.0         ,            ,            ,           ,            ,0.0         ,0.0         ,0.0
404853186 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
404875452 ,            ,            ,31500.0     ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
404910994 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
404954794 ,            ,            ,            ,0.0        ,0.0         ,            ,0.0         ,
404955890 ,6585.0      ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,            ,
404993461 ,0.0         ,0.0         ,0.0         ,           ,0.0         ,0.0         ,            ,
403564396 ,0.0         ,0.0         ,            ,0.0        ,            ,0.0         ,0.0         ,
403938665 ,            ,            ,            ,           ,0.0         ,0.0         ,0.0         ,
404336190 ,            ,            ,            ,           ,            ,            ,            ,0.0
405035981 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
405138090 ,            ,            ,            ,           ,0.0         ,0.0         ,0.0         ,
405157736 ,0.0         ,            ,0.0         ,           ,            ,            ,            ,0.0
405158312 ,9506519.0   ,8145298.0   ,7470175.0   ,7517223.0  ,6864337.0   ,8194681.0   ,8622605.0   ,9022046.0
405198169 ,            ,            ,            ,           ,0.0         ,0.0         ,            ,0.0
405316647 ,0.0         ,0.0         ,5790.0      ,0.0        ,0.0         ,0.0         ,62671.0     ,0.0
405319948 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,            ,            ,
405331612 ,            ,            ,            ,           ,            ,0.0         ,            ,
405377045 ,            ,54000.0     ,51000.0     ,0.0        ,0.0         ,54000.0     ,116000.0    ,271000.0
405398736 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
406780270 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,188241.0    ,
407512185 ,0.0         ,            ,0.0         ,0.0        ,            ,            ,            ,
407530641 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,12000.0
407574144 ,0.0         ,0.0         ,44936.0     ,0.0        ,            ,            ,            ,0.0
407634542 ,2240000.0   ,2020960.0   ,2793711.0   ,3361573.0  ,3970849.0   ,4868298.0   ,4207429.0   ,3945843.0
407675958 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
407676444 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
407697366 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
407724426 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
407892660 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,            ,
407947738 ,            ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408009736 ,            ,            ,            ,           ,            ,0.0         ,0.0         ,0.0
408016145 ,            ,            ,            ,           ,311000.0    ,0.0         ,            ,
408024719 ,0.0         ,5969201.99  ,5873000.0   ,8231662.0  ,8027735.0   ,5463405.0   ,4002000.0   ,
408067262 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408127553 ,0.0         ,0.0         ,            ,           ,            ,            ,            ,
408203602 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,6000.0      ,6480.0
408342616 ,0.0         ,0.0         ,0.0         ,9633624.0  ,9226933.0   ,7751516.0   ,11573760.0  ,11717000.0
408363174 ,134000.0    ,141000.0    ,115000.0    ,525114.0   ,339050.0    ,            ,0.0         ,0.0
408422525 ,            ,198503.0    ,0.0         ,           ,            ,            ,            ,0.0
408455426 ,0.0         ,0.0         ,217958.0    ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408468841 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408481992 ,            ,0.0         ,            ,756131.0   ,0.0         ,0.0         ,0.0         ,0.0
408484277 ,0.0         ,0.0         ,0.0         ,0.0        ,158216.0    ,159558.0    ,163168.0    ,516106.0
408492304 ,0.0         ,33672.0     ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408492544 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408493526 ,            ,            ,            ,           ,0.0         ,            ,            ,
408496529 ,0.0         ,            ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,26000.0
408533396 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,            ,
408598324 ,            ,            ,            ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408599975 ,425635.0    ,0.0         ,0.0         ,           ,16066.0     ,10840.0     ,0.0         ,19870.0
408629343 ,40749.0     ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408683225 ,            ,            ,            ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408709897 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408720282 ,3883276.0   ,3954567.0   ,4808710.0   ,5192041.0  ,1642742.0   ,922741.0    ,3376740.0   ,2801241.0
408832301 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408888659 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
408953271 ,462910.0    ,310103.0    ,294028.0    ,319797.0   ,355285.0    ,            ,469122.0    ,514911.0
408998193 ,            ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409006228 ,            ,            ,            ,           ,            ,            ,0.0         ,
409065984 ,            ,0.0         ,25541.0     ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409122967 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409166840 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409196821 ,1262103.0   ,0.0         ,855405.0    ,836856.0   ,648198.0    ,859554.0    ,902335.0    ,
409197258 ,            ,            ,            ,0.0        ,            ,            ,            ,
409214244 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409379435 ,            ,            ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409448081 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
409463866 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409491685 ,140000.0    ,142506.0    ,180456.0    ,145298.0   ,117000.0    ,33000.0     ,121000.0    ,136000.0
409514692 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409552924 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,
409578192 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,0.0         ,0.0         ,0.0
409612785 ,0.0         ,0.0         ,0.0         ,0.0        ,0.0         ,183922.0    ,82988.0     ,0.0
409699113 ,0.0         ,            ,0.0         ,0.0        ,7297.0      ,0.0         ,0.0         ,0.0
