siren,2017_CIR,2018_CIR,2019_CIR,2020_CIR,2021_CIR,2022_CIR,2023_CIR,2016_CIR
300022902,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
300031226,0.0,0.0,,,,0.0,0.0,0.0
300153533,,,,0.0,15140.0,,,
300170669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300398880,0.0,0.0,892000.0,0.0,,,0.0,555000.0
300400207,0.0,0.0,,0.0,0.0,,,0.0
300484813,,0.0,0.0,0.0,,0.0,,
300520657,,0.0,,,,0.0,0.0,0.0
300560588,368934.0,323947.0,,0.0,,,,
300685948,0.0,1562.0,0.0,,0.0,,,0.0
300848041,,,,34221.0,0.0,,0.0,
300882016,,380536.0,0.0,0.0,,,,
300960754,16840000.0,20128000.0,19710000.0,,,,,0.0
301027124,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
301097937,,,1194.0,,,,,
301126207,0.0,1808.0,0.0,,0.0,,,0.0
301166138,,,0.0,0.0,0.0,0.0,,0.0
301296588,,0.0,0.0,0.0,,0.0,,
301311999,0.0,0.0,,,,0.0,,11401.0
301312765,0.0,0.0,0.0,0.0,0.0,,,
301392569,0.0,0.0,0.0,,,,,
301393161,0.0,0.0,0.0,148016.0,0.0,0.0,0.0,0.0
301420733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301467643,,,,,,,0.0,
301484556,0.0,,,,,0.0,,0.0
301520920,2929000.0,0.0,25683000.0,5831741.0,1927000.0,1625000.0,1310000.0,2514000.0
301523460,,,,,,,,
301549002,,0.0,,,,,,
301571881,0.0,,,,,,,0.0
301590915,0.0,,,,,0.0,,39480.0
301763405,,10568000.0,9017000.0,10421000.0,,,,9000000.0
301768859,0.0,0.0,0.0,0.0,0.0,,,0.0
301793873,0.0,0.0,,,0.0,0.0,0.0,0.0
301849675,0.0,,0.0,0.0,0.0,,,0.0
301850277,,,,,,0.0,,141359.0
301853008,0.0,0.0,0.0,0.0,,,,
301895967,0.0,0.0,0.0,,,,,0.0
301896619,0.0,,,,,,,0.0
301897278,1392000.0,1236000.0,520000.0,364000.0,792000.0,357000.0,467000.0,
301921201,0.0,405000.0,0.0,0.0,0.0,,,0.0
302077169,0.0,0.0,0.0,,,0.0,0.0,0.0
302112867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302135900,,,,,,0.0,,230500.0
302180674,,,,,,0.0,,
302182753,0.0,0.0,99066.0,,,,,0.0
302236856,136504.0,0.0,70197.0,,,0.0,,
302238829,317000.0,0.0,0.0,0.0,0.0,0.0,0.0,257000.0
302316658,,,22111.0,78832.0,121821.0,,,
302333075,0.0,0.0,0.0,,,,,
302409107,70967.0,0.0,0.0,0.0,0.0,,,0.0
