SIREN;Famille ID;Brevet;Date de Dépôt;Année de Dépôt;2016;2017;2018;2019;2020;2021;2022;2023;2024
341 459 386;38508769;US2008263422A1;18/04/2008;2008;0;0;0;0;0;0;0;0;0
341 459 386;29797600;US7173640B2;18/07/2003;2003;0;0;0;0;0;0;0;0;0
341 459 386;9549834;EP1083471B1;08/09/2000;2000;0;0;0;0;0;0;0;0;0
341 459 386;36124008;US7392332B2;30/06/2006;2006;0;0;0;0;0;0;0;0;0
341 459 386;40602635;FR2936115B1;18/09/2008;2008;0;0;0;0;0;0;0;0;0
341 459 386;32982144;US7180224B2;01/04/2004;2004;0;0;0;0;0;0;0;0;0
341 459 386;34355508;EP1524795A1;06/09/2004;2004;0;0;0;0;0;0;0;0;0
341 459 386;37441080;EP1816484B1;25/01/2007;2007;0;0;0;0;0;0;0;0;0
341 459 386;8856508;EP1342244A1;14/11/2001;2001;0;0;0;0;0;0;0;0;0
341 459 386;8862026;FR2823377B1;06/04/2001;2001;0;0;0;0;0;0;0;0;0
341 459 386;34673743;US7109786B2;03/02/2005;2005;0;0;0;0;0;0;0;0;0
341 459 386;8866980;US2004160279A1;30/09/2003;2003;0;0;0;0;0;0;0;0;0
341 459 386;9515257;FR2773264A1;30/12/1997;1997;0;0;0;0;0;0;0;0;0
341 459 386;34655196;FR2864726B1;02/04/2004;2004;0;0;0;0;0;0;0;0;0
341 459 386;34955119;CN1866492B;28/03/2006;2006;0;0;0;0;0;0;0;0;0
341 459 386;None;DE602006006694D1;;None;0;0;0;0;0;0;0;0;0
341 459 386;9492750;EP0810728B1;28/05/1997;1997;0;0;0;0;0;0;0;0;0
341 459 386;35502682;EP1710703A1;29/03/2006;2006;0;0;0;0;0;0;0;0;0
341 459 386;34952988;FR2880191A1;23/12/2004;2004;0;0;0;0;0;0;0;0;0
341 459 386;39930511;US2009284331A1;19/05/2009;2009;0;0;0;0;0;0;0;0;0
341 459 386;34942302;EP1600880A1;17/05/2005;2005;0;0;0;0;0;0;0;0;0
341 459 386;9479096;EP0742591B1;06/05/1996;1996;0;0;0;0;0;0;0;0;0
341 459 386;9543271;US6850527B1;10/03/2000;2000;0;0;0;0;0;0;0;0;0
341 459 386;8868787;US2003081149A1;25/10/2002;2002;0;0;0;0;0;0;0;0;0
341 459 386;8863420;WO02095796A3;17/05/2002;2002;0;0;0;0;0;0;0;0;0
341 459 386;9511349;DE69834607T2;17/09/1998;1998;0;0;0;0;0;0;0;0;0
341 459 386;33515558;FR2856855A1;27/06/2003;2003;0;0;0;0;0;0;0;0;0
341 459 386;8849674;FR2808396A1;27/04/2000;2000;0;0;0;0;0;0;0;0;0
341 459 386;9508885;US6149058A;30/06/1998;1998;0;0;0;0;0;0;0;0;0
341 459 386;8853486;US6549048B2;09/08/2001;2001;0;0;0;0;0;0;0;0;0
