SIREN;Famille ID;Brevet;Date de Dépôt;Année de Dépôt;2016;2017;2018;2019;2020;2021;2022;2023;2024
800 036 170;49713214.0;ES2811700T3;26/08/2014;2014.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 036 170;65861427.0;FR3085851B1;14/09/2018;2018.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
800 036 170;65861427.0;EP3622992A1;02/09/2019;2019.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
800 036 170;65861427.0;ES2868091T3;02/09/2019;2019.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
800 036 170;65861426.0;EP3622991A1;02/09/2019;2019.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
800 036 170;49713214.0;EP2842587B1;26/08/2014;2014.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 036 170;49713214.0;EP2842587A1;26/08/2014;2014.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 036 170;65861427.0;FR3085851A1;14/09/2018;2018.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
800 036 170;65861426.0;FR3085852A1;14/09/2018;2018.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
800 036 170;75108378.0;FR3115465A1;23/10/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
800 036 170;75108378.0;EP3988149A1;04/08/2021;2021.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
800 036 170;65861426.0;FR3085852B1;14/09/2018;2018.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
800 036 170;65861427.0;EP3622992B1;02/09/2019;2019.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
800 354 144;67107877.0;US2020305070A1;20/03/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
800 354 144;70482548.0;US2021306705A1;27/07/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
800 354 144;67262682.0;US2022021719A1;13/09/2021;2021.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
800 354 144;67262682.0;US11128685B2;27/03/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
800 354 144;74191486.0;US2022193551A1;03/08/2021;2021.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
800 354 144;69845298.0;KR20220130837A;23/02/2021;2021.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
800 354 144;67107877.0;WO2020193429A1;20/03/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
800 354 144;52988117.0;EP3205067A1;09/10/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 354 144;;MYPI2021005707A0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
