siren,2016_CIR,2017_CIR,2018_CIR,2019_CIR,2020_CIR,2021_CIR,2022_CIR,2023_CIR,activitePrincipaleUniteLegale,categorieEntreprise,Division,somme_CIR
500007802.0,,,,0.0,0.0,,,,25.12Z,ETI,25,
500043880.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,62.01Z,ETI,62,
500051495.0,145000.0,158000.0,0.0,,,,,,29.32Z,ETI,29,
500087242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.19Z,GE,72,0.0
500144969.0,,,0.0,0.0,,0.0,0.0,0.0,22.19Z,ETI,22,
500162524.0,,,,0.0,0.0,0.0,0.0,0.0,71.12B,ETI,71,
500172796.0,74080.0,0.0,0.0,0.0,0.0,,,,20.42Z,ETI,20,
500173950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.11Z,ETI,25,0.0
500212188.0,0.0,313334.0,0.0,0.0,0.0,12514145.0,0.0,0.0,29.32Z,ETI,29,12827479.0
500229398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.20B,GE,71,0.0
500274972.0,,,0.0,0.0,0.0,0.0,0.0,293353.0,71.12B,ETI,71,
500286638.0,85440.0,,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,ETI,71,
500312798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,ETI,71,0.0
500363254.0,236227.0,244494.0,218915.0,256395.0,403363.0,430974.0,0.0,0.0,62.02A,ETI,62,1790368.0
500440813.0,0.0,11077656.0,4353095.0,4662143.0,3053529.0,4659805.0,15312468.0,0.0,62.01Z,GE,62,43118696.0
500528377.0,0.0,,,,,,,,71.12B,ETI,71,
500532817.0,,,,,0.0,0.0,0.0,0.0,71.12B,ETI,71,
500548995.0,0.0,15294.0,0.0,0.0,0.0,0.0,0.0,0.0,62.02A,ETI,62,15294.0
500563606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.99B,GE,25,0.0
500620489.0,0.0,9535.0,15121.0,0.0,0.0,0.0,0.0,0.0,71.20B,ETI,71,24656.0
500644554.0,0.0,24267.0,0.0,,0.0,0.0,0.0,0.0,96.09Z,GE,96,
500667027.0,0.0,0.0,0.0,0.0,0.0,0.0,,,71.11Z,ETI,71,
500717103.0,48000.0,0.0,1513821.0,0.0,0.0,97395.0,,,71.12B,GE,71,
500757901.0,33419.0,44000.0,,81000.0,60000.0,36000.0,36000.0,,71.20B,ETI,71,
500771233.0,0.0,0.0,0.0,,,0.0,,0.0,71.12B,ETI,71,
500806633.0,0.0,0.0,0.0,379111.0,,,,,21.20Z,ETI,21,
500816095.0,0.0,0.0,0.0,0.0,,,0.0,,96.02B,ETI,96,
500881198.0,,0.0,,0.0,0.0,0.0,0.0,0.0,32.50A,ETI,32,
500895545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.12Z,ETI,26,
500925706.0,,,,,,0.0,0.0,0.0,96.09Z,GE,96,
500932389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.02A,GE,62,0.0
500933452.0,0.0,0.0,,0.0,0.0,0.0,,,62.01Z,ETI,62,
500960034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,96.09Z,ETI,96,
500971601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.29Z,ETI,25,
501003404.0,156000.0,156000.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,GE,71,312000.0
501029565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,ETI,71,0.0
501039341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,71.12B,ETI,71,
501093744.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,26.12Z,ETI,26,
501097760.0,0.0,0.0,0.0,0.0,0.0,80374.0,0.0,0.0,71.12B,GE,71,80374.0
501105498.0,,,0.0,0.0,0.0,0.0,0.0,,62.02A,GE,62,
501119093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.02A,ETI,62,0.0
501161798.0,2550000.0,2933000.0,3573000.0,3818828.0,3996248.0,6042670.0,2307076.0,1900030.0,29.10Z,GE,29,27120852.0
501176333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,ETI,71,0.0
501184857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,GE,71,0.0
501197412.0,0.0,0.0,2708.0,0.0,0.0,0.0,0.0,0.0,25.73A,GE,25,2708.0
501199368.0,145599.0,0.0,182714.0,0.0,1280348.0,25880.0,538000.0,173284.0,71.20B,ETI,71,2345825.0
501216568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,ETI,71,0.0
501241723.0,,104000.0,99000.0,0.0,176500.0,86000.0,93400.0,72514.0,71.20B,ETI,71,
501255343.0,75952.0,112724.0,173439.0,110631.0,0.0,0.0,0.0,0.0,62.02A,ETI,62,472746.0
501265839.0,38610.0,0.0,,,,,,,22.21Z,ETI,22,
501274351.0,0.0,0.0,0.0,,,,0.0,,96.09Z,GE,96,
501286181.0,43851.0,0.0,0.0,0.0,0.0,0.0,0.0,,62.01Z,ETI,62,
501301303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.04Z,ETI,96,0.0
501371132.0,0.0,0.0,83585.0,0.0,141749.0,159884.0,0.0,495515.0,71.12B,GE,71,880733.0
501372585.0,0.0,0.0,0.0,0.0,0.0,55059.0,0.0,0.0,71.12B,GE,71,55059.0
501379291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,GE,71,0.0
501382576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,GE,71,0.0
501386585.0,,,,0.0,0.0,,,,20.20Z,ETI,20,
501386866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,71.20A,ETI,71,
501397012.0,55000.0,55000.0,0.0,0.0,3909.0,100000.0,0.0,0.0,21.20Z,ETI,21,213909.0
501402622.0,0.0,0.0,,,,0.0,0.0,0.0,96.09Z,ETI,96,
501414841.0,6373.0,10837.0,15470.0,0.0,0.0,0.0,0.0,,25.12Z,ETI,25,
501450084.0,,,,,2226138.0,2226138.0,0.0,0.0,71.12B,ETI,71,
501455448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,GE,71,0.0
501463012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.51B,ETI,26,
501463830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,ETI,71,0.0
501498141.0,0.0,0.0,526635.0,3300.0,0.0,0.0,0.0,0.0,71.12B,GE,71,529935.0
501499214.0,,,,,,0.0,,,25.11Z,ETI,25,
501501019.0,0.0,,0.0,0.0,0.0,0.0,126000.0,866350.0,30.30Z,GE,30,
501506125.0,,,,0.0,0.0,0.0,0.0,,62.01Z,ETI,62,
501537831.0,0.0,0.0,0.0,0.0,47669.0,0.0,0.0,0.0,71.12B,GE,71,47669.0
501566491.0,0.0,0.0,,0.0,0.0,,,,96.02A,GE,96,
501569594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.42Z,GE,20,0.0
501592125.0,0.0,2634.36,0.0,0.0,0.0,0.0,1003.47,0.0,71.20B,GE,71,3637.83
501592307.0,0.0,0.0,77000.0,0.0,0.0,0.0,0.0,0.0,71.12B,GE,71,77000.0
501597215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.12Z,ETI,30,
501597835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.93Z,ETI,25,0.0
501600761.0,315070.0,0.0,177962.0,313796.0,687735.0,229245.0,177485.0,223143.0,62.02A,ETI,62,2124436.0
501640031.0,,0.0,,39000.0,,147000.0,179000.0,,71.12B,ETI,71,
501640809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.02A,ETI,62,0.0
501654347.0,2228.0,0.0,2856.84,0.0,0.0,0.0,0.0,0.0,20.59Z,ETI,20,5084.84
501655138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,GE,71,0.0
501655880.0,68000.0,64000.0,60000.0,56000.0,25000.0,,47000.0,16000.0,71.12B,GE,71,
501657399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,ETI,71,0.0
501658421.0,159000.0,148000.0,141000.0,57000.0,50000.0,0.0,0.0,0.0,71.20B,GE,71,555000.0
501672620.0,0.0,0.0,0.0,0.0,0.0,,,,71.12B,GE,71,
501688360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,71.12B,ETI,71,
501690283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.19Z,GE,72,0.0
501698419.0,427906.0,1232764.0,1311249.0,1964860.0,1359211.0,1515190.0,1280905.0,940862.0,30.20Z,ETI,30,10032947.0
501707335.0,0.0,486000.0,299000.0,420000.0,0.0,364000.0,72000.0,,26.12Z,ETI,26,
501735617.0,168864.0,138746.0,13481.0,227284.0,239232.0,185486.0,,0.0,62.02A,ETI,62,
501737472.0,5761242.0,0.0,0.0,0.0,0.0,3885102.0,0.0,3865548.0,72.19Z,ETI,72,13511892.0
501751218.0,0.0,,0.0,,0.0,0.0,3765389.0,3677000.0,72.19Z,GE,72,
501766349.0,18569.0,0.0,0.0,0.0,355288.0,0.0,0.0,0.0,62.02B,ETI,62,373857.0
501787840.0,0.0,0.0,0.0,0.0,0.0,0.0,,,71.12B,GE,71,
501789036.0,,,,,3507012.0,3507012.0,,,71.12B,ETI,71,
501789655.0,,0.0,0.0,0.0,,,,,20.59Z,ETI,20,
501821748.0,0.0,0.0,96886.0,0.0,0.0,0.0,0.0,,71.12B,ETI,71,
501825285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,96.09Z,ETI,96,
501835458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22Z,ETI,22,0.0
501847313.0,,349608.0,442981.0,433125.0,304942.0,139069.0,128347.0,35640.0,62.02A,GE,62,
501914352.0,0.0,60874.0,0.0,13044.0,9285.0,9285.0,0.0,,62.02A,ETI,62,
501941389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,ETI,71,0.0
501949085.0,0.0,,24870.0,0.0,3570.0,6745.0,6895.0,4783.0,71.12B,ETI,71,
501966543.0,979000.0,1070000.0,1190000.0,4470000.0,1776000.0,5256000.0,0.0,,71.20B,GE,71,
501967822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,ETI,71,0.0
501978555.0,0.0,0.0,0.0,0.0,0.0,,,,62.01Z,GE,62,
501997837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,71.12B,GE,71,
502009061.0,0.0,0.0,0.0,0.0,0.0,0.0,1251573.0,0.0,71.12B,ETI,71,1251573.0
502054984.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.02A,ETI,62,
502058944.0,0.0,0.0,36000.0,0.0,0.0,0.0,,0.0,71.12B,ETI,71,
502080104.0,0.0,0.0,0.0,0.0,14000.0,31352.0,0.0,0.0,71.12B,GE,71,45352.0
502100761.0,0.0,0.0,0.0,0.0,,,,,71.20B,ETI,71,
502154537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.20B,GE,71,0.0
502162571.0,,0.0,0.0,,,,,,62.02A,ETI,62,
502183965.0,,,,0.0,0.0,,,,71.12B,ETI,71,
502191844.0,0.0,0.0,,,,,,,71.11Z,ETI,71,
502222730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,96.09Z,GE,96,
502256456.0,,,0.0,0.0,0.0,0.0,0.0,,62.02A,ETI,62,
502256811.0,21559670.0,2351000.0,0.0,123724.0,0.0,0.0,0.0,,26.11Z,ETI,26,
502314800.0,0.0,,0.0,210.0,0.0,3134.0,2339.0,,62.02A,ETI,62,
502318090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,GE,71,0.0
502367527.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.02A,ETI,62,
502436223.0,,,,,,0.0,0.0,,71.20B,ETI,71,
502454044.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.21Z,ETI,22,
502474042.0,0.0,,,,,,,,96.09Z,ETI,96,
502547292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.09Z,GE,96,0.0
502615982.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.02A,ETI,62,
502628720.0,,568000.0,,,,292000.0,0.0,0.0,71.12B,ETI,71,
