siren,brevets2016,brevets2017,brevets2018,brevets2019,brevets2020,brevets2021,brevets2022,brevets2023,brevets2024,Famille ID,Année de Dépôt,CIR2016,CIR2017,CIR2018,CIR2019,CIR2020,CIR2021,CIR2022,CIR2023,activitePrincipaleUniteLegale,categorieEntreprise,dateCreationUniteLegale,division,somme_CIR
400054383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,48413.0,0.0,0.0,0.0,71.20B,0,1994,71,48413.0
400072997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1108172.0,928011.0,1009406.0,1253358.0,1337105.0,1304625.0,204000.0,1086745.0,25.99B,1,1995,25,8231422.0
400132627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,148850.0,0.0,0.0,0.0,0.0,0.0,25.62B,1,1995,25,148850.0
400214888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.11Z,1,1995,25,0.0
400256780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,91000.0,83000.0,61000.0,28000.0,0.0,85000.0,97000.0,24000.0,20.42Z,0,1995,20,469000.0
400305223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,0,1995,71,0.0
400357885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,544000.0,1627000.0,1957000.0,1878000.0,2206000.0,0.0,1850000.0,1665000.0,62.02A,0,1995,62,11727000.0
400370250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,0,1995,71,0.0
400513602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,27385.0,0.0,37555.0,0.0,0.0,0.0,0.0,20.59Z,1,1995,20,64940.0
400575569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,73541.0,0.0,0.0,0.0,0.0,0.0,25.11Z,1,1995,25,73541.0
400597654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.42Z,1,1995,20,0.0
400604377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.20Z,1,1995,29,0.0
400916979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.23Z,1,1995,22,0.0
401077938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,47345.0,50130.0,0.0,0.0,0.0,141000.0,32127.0,45000.0,71.12B,0,1994,71,315602.0
401315999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.29Z,0,1995,25,0.0
401324843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.72Z,1,1995,25,0.0
401336342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.02A,1,1995,62,0.0
401440268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.02A,0,1995,62,0.0
401502661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,48450.0,105984.0,137160.0,165454.0,151301.0,106000.0,71.12B,1,1995,71,714349.0
401503792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,61109.0,0.0,0.0,0.0,0.0,0.0,100000.0,71.12B,1,1995,71,161109.0
401686795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.50B,1,1995,25,0.0
401791959,6.0,4.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,"49880649.0, 50137860.0, 50179779.0, 51894136.0, 57543062.0, 58779081.0, 59039096.0, 61027935.0, 61027936.0, 61027937.0, 62152501.0, 62152502.0, 62152503.0, 62751023.0, 67002033.0, 67185492.0, 68208291.0, 68806992.0, 73643072.0, 74592110.0","2016, 2016, 2016, 2017, 2016, 2016, 2016, 2017, 2017, 2017, 2018, 2018, 2018, 2018, 2019, 2019, 2018, 2019, 2020, 2020",1468283.0,1455276.0,1590270.0,1433081.0,1512497.0,695431.0,600090.0,62500.0,71.12B,1,1995,71,8817428.0
401802087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,359031.0,406617.0,474848.0,492912.0,497780.0,499991.0,549503.0,593897.0,26.30Z,1,1995,26,3874579.0
401872510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7773.92,0.0,0.0,0.0,0.0,0.0,32.50A,1,1995,32,7773.92
401878699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.11Z,1,1995,25,0.0
402011175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,953000.0,370000.0,980000.0,1205000.0,1154612.0,941485.0,811871.0,808759.0,21.20Z,1,1995,21,7224727.0
402112403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,0,1995,71,0.0
402114474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,90640.0,96455.0,49763.0,53255.0,40982.0,22.21Z,1,1995,22,331095.0
402125033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,20153.0,20363.0,20883.0,31194.0,62.01Z,1,1995,62,92593.0
402171656,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58413034.0,2017,0.0,0.0,0.0,0.0,0.0,430655.0,206656.37,0.0,25.99A,1,1995,25,637311.37
402207963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.99Z,1,1995,32,0.0
402222483,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,"62779144.0, 62815154.0, 64572453.0, 69059942.0","2018, 2018, 2018, 2019",14136213.0,946189.0,808851.0,0.0,0.0,0.0,0.0,0.0,21.20Z,0,1995,21,15891253.0
402237671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12B,1,1995,71,0.0
402250427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,434761.0,437528.0,435169.0,525232.0,487713.0,525518.0,515525.0,0.0,71.12B,1,1995,71,3361446.0
402261234,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,"63761319.0, 66102600.0, 66175359.0, 68137980.0, 68581708.0, 69055840.0, 69185190.0, 69845232.0, 71465205.0, 72432783.0, 72665165.0","2018, 2019, 2019, 2019, 2019, 2019, 2020, 2020, 2020, 2020, 2020",303000.0,393000.0,327000.0,253000.0,240000.0,0.0,260000.0,280000.0,26.51B,1,1995,26,2056000.0
402336085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,200000.0,25819.0,0.0,0.0,0.0,0.0,0.0,0.0,62.03Z,1,1994,62,225819.0
402460174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,475000.0,3090.0,357000.0,176000.0,572000.0,710000.0,71.12B,0,1995,71,2293090.0
402466643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1617106.0,249319.0,200000.0,200000.0,0.0,62.01Z,0,1995,62,2266425.0
