siren,2016_CIR,2017_CIR,2018_CIR,2019_CIR,2020_CIR,2021_CIR,2022_CIR,2023_CIR
700802135,0.0,0.0,111769.0,0.0,0.0,0.0,0.0,0.0
702001785,438329.0,175109.0,3347413.0,3592709.0,1886422.0,0.0,1305663.0,0.0
702006099,oui,0.0,0.0,0.0,0.0,0.0,0.0,114121.0
702012956,0.0,oui,101190000.0,19000000.0,29553375.0,25309149.0,14775175.0,
702025917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702027491,189268.0,170181.0,172025.0,125008.0,158920.0,,288000.0,
702030008,5625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702037375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
702042755,5509294.0,5507305.0,7365000.0,10422295.0,13556006.0,16015415.0,14056855.0,7828054.0
702051905,17702.0,8040.0,48487.0,43595.0,0.0,0.0,0.0,0.0
702052333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
703780262,0.0,0.0,0.0,0.0,,,,
705580223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
708500897,314136.0,291389.0,319340.0,261892.0,58159.0,255729.0,755.0,238663.0
709201586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
709802557,7003.0,24227.0,35025.0,13402.0,0.0,0.0,0.0,0.0
709806079,0.0,0.0,0.0,651000.0,326000.0,329000.0,522600.0,255000.0
709806624,0.0,0.0,0.0,585163.0,0.0,0.0,0.0,0.0
709807408,250000.0,408008.0,261169.0,186009.0,266500.0,226587.0,32710.0,0.0
709900245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
712000272,190000.0,171000.0,69000.0,217000.0,162000.0,82000.0,293000.0,251000.0
712012830,,0.0,0.0,0.0,0.0,0.0,0.0,
712014596,,,,0.0,0.0,,,
712019538,14988000.0,0.0,13522.0,0.0,5424000.0,8233000.0,0.0,0.0
712023043,0.0,0.0,0.0,,,,,
712034818,,0.0,,0.0,0.0,0.0,,
712036276,0.0,0.0,41000.0,0.0,0.0,141000.0,0.0,0.0
712042456,34438000.0,0.0,31198000.0,32571000.0,33461000.0,33651.0,32493.0,33014000.0
712049618,0.0,217000000.0,0.0,0.0,229.0,0.0,0.0,0.0
712051382,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
713002269,0.0,61000000.0,54000000.0,44000000.0,47000000.0,42.0,42000000.0,44100000.0
713680734,,546885.0,1815646.0,0.0,619000.0,610000.0,1460285.0,1386572.0
713850063,,,,,,,0.0,0.0
715420105,240438.0,291923.0,413417.0,71785.0,45577.0,152213.0,184482.0,65931.0
716420435,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716720248,91146.0,0.0,0.0,0.0,0.0,196632.0,,
717180087,,,,,,0.0,0.0,0.0
718504236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718800501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
719803249,125622.0,109082.0,76628.0,149515.0,55367.0,0.0,77272.0,0.0
720501410,1127079.0,1214000.0,1012000.0,1501000.0,1179000.0,1854000.0,2560000.0,2386000.0
720800689,1028000.0,1025000.0,2115733.0,1333942.0,1495909.0,846708.0,766651.0,766651.0
720801828,0.0,0.0,,,0.0,0.0,0.0,
720802529,0.0,725000.0,78000.0,0.0,30000.0,0.0,,0.0
720804012,0.0,0.0,21000.0,35000.0,,0.0,0.0,0.0
722000056,0.0,106329.0,84319.0,0.0,0.0,0.0,0.0,0.0
722003464,0.0,267000.0,263599.0,,,,,
722013174,oui,,0.0,0.0,0.0,0.0,0.0,418021.0
722014974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722017290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722031176,0.0,0.0,0.0,0.0,0.0,33374.0,17028.0,0.0
722045556,2318000.0,18988000.0,6961961.0,6848821.0,6330405.0,6415268.0,17340000.0,3743000.0
722045879,4209000.0,4492000.0,3603000.0,2924000.0,3249000.0,3098000.0,3234000.0,3040000.0
722047651,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
722049129,0.0,0.0,0.0,56111.0,0.0,0.0,0.0,0.0
722060282,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722063427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
722721339,92000.0,640790.0,0.0,717000.0,691000.0,738000.0,427000.0,723000.0
722820503,,,,,,,96977.0,
723720140,0.0,0.0,0.0,203596.0,0.0,0.0,0.0,812000.0
723820056,0.0,38853.0,76183.0,107045.0,35130.0,107217.0,75213.0,
725781082,0.0,86000.0,3066000.0,0.0,17090.48,0.0,0.0,0.0
727050080,1280378.0,1647066.0,0.0,0.0,468906.0,409637.0,466593.0,537673.0
728202045,280000.0,14142.0,oui,oui,0.0,0.0,100000.0,98686.0
728202417,0.0,0.0,0.0,136433.0,144356.0,0.0,0.0,0.0
728501271,0.0,0.0,0.0,0.0,,,0.0,
729201590,0.0,0.0,0.0,,36411.0,44757.0,0.0,0.0
