siren,2022_CIR,2023_CIR,2019_CIR,2021_CIR,2018_CIR,2020_CIR,2016_CIR,2017_CIR
800036170,0.0,420806.0,,,,,,
800083040,,,0.0,0.0,,,,
800110462,,,,0.0,0.0,0.0,,
800193781,0.0,,,,,,0.0,0.0
800327959,,,0.0,0.0,,0.0,,
800354144,,,,,,748448.0,,
800394926,0.0,,,,,,,
800421752,,,0.0,0.0,,0.0,,
800456097,0.0,,,,,,,0.0
800565855,,,,,,,174527.0,
800568214,,,,0.0,,,,
800592388,,,,,,,0.0,0.0
800640781,,,,,,,,0.0
800649733,,,0.0,,,,,
800677536,,0.0,,,,,0.0,
800697385,0.0,,,,,,,0.0
800709925,,,,,0.0,,,
800761785,,,42327.0,0.0,,,,
800765406,0.0,,,,,,,
800776866,0.0,,,,,,,0.0
800803728,0.0,,,,,,,0.0
800861239,,0.0,,,,,,
800862385,0.0,,,,,,,0.0
800862864,,0.0,,,,,,
800863490,,,0.0,0.0,,,,
800874885,0.0,,,,,,0.0,0.0
800882821,0.0,,,,,,,0.0
800900086,,,,,,,,0.0
800923740,,,0.0,311408.0,,,,
801013137,,0.0,,,,,,
801019753,,,,,,,0.0,
801065905,,,,,0.0,,,
801069410,,,0.0,0.0,,,,
801073354,,,,,0.0,0.0,,
801120031,,0.0,,,,,,
801184292,,,0.0,0.0,,,,
801185984,,,,0.0,,0.0,,
801202532,,,0.0,0.0,0.0,,,
801215492,,,,0.0,,120743.0,,
801240763,,,,,,,0.0,
801244492,,,,,0.0,0.0,,
801352329,,,,,0.0,0.0,,
801524125,0.0,,,,,,,
801595299,,,,,,,0.0,
801866708,,,0.0,,0.0,0.0,,
802047399,,,,0.0,,,,
802055111,,,,,,0.0,,
802068965,,,0.0,0.0,,0.0,,
802071399,,,0.0,0.0,,0.0,,
802097592,,0.0,,,,,0.0,
802229021,0.0,,,,,,,0.0
802240309,,,,,0.0,0.0,,
802269647,,0.0,,,,,0.0,
802319103,,,,,192016.0,,,
802367458,0.0,,,,,,,0.0
802377911,,,0.0,0.0,,,,
802466177,,192017.0,,,105773.0,,,
802498972,,,0.0,0.0,,,,
802532028,0.0,,,,,,,0.0
802559146,0.0,0.0,,,,,0.0,
802586784,,0.0,,,,,0.0,
802630087,,,0.0,0.0,,,,
802741983,,,,,0.0,210346.0,,
802747691,,0.0,0.0,0.0,,,,
802850909,,20000.0,,,,,60000.0,
802889311,,,,0.0,,,,
802897801,,,,0.0,,0.0,,
802950873,,0.0,,,,,0.0,
802960104,0.0,0.0,,,,,,0.0
802998104,,,0.0,0.0,,,,
803102789,0.0,,,,,,,0.0
803106525,0.0,,,,,,,0.0
803109115,0.0,,,,,,,0.0
803188358,,,,,,,,336656.0
803202019,,,,0.0,0.0,0.0,,
803247956,32847.0,,,,,,,0.0
803313766,,,,,0.0,,,
803352921,,,0.0,0.0,,,,
803353424,0.0,,,,,,,0.0
803474873,,,,,0.0,0.0,,
803557768,,,,,,,0.0,0.0
803634948,,,,,0.0,0.0,,
803675628,,,,,,,0.0,
803693258,0.0,,,,,,,
803728096,,,0.0,0.0,,,,
803738285,,,,,,0.0,,
803746379,,,,,0.0,,,
803803832,,,,,0.0,192971.0,,
803821974,,,0.0,0.0,,0.0,,
803871797,,,,0.0,,,,
803910066,,,,,,,57242.0,57242.0
803921402,,0.0,,,,,0.0,
803954270,18110.0,1372834.0,,,,,0.0,0.0
804051555,,,,,0.0,0.0,,
804102689,0.0,,,,,,,0.0
804354819,,,0.0,0.0,0.0,,,
804442762,,,,,,,,0.0
804448587,,,,,,,,0.0
804626042,,0.0,,,0.0,,,
804722288,0.0,,,,,,,0.0
804764629,0.0,,,,,,0.0,0.0
804805133,,,1749.0,0.0,,0.0,,
804828523,,,,,,0.0,,0.0
804832434,,,0.0,0.0,,0.0,,
804869758,,,0.0,0.0,,,,
804875425,,0.0,,,,,0.0,
804875599,,,0.0,0.0,,,,
804876027,0.0,0.0,,,,,0.0,0.0
804928216,,,,,0.0,0.0,,
804963213,,,0.0,35533.0,0.0,,,
804998045,,,,0.0,,,,
805014230,,,,,0.0,18140.0,,
805018959,,,0.0,0.0,,,,
805269271,,,,,,,1888000.0,
805319274,,,,0.0,0.0,0.0,,
805350956,,,,,,,0.0,
805372653,,,,,0.0,0.0,,
805376613,0.0,,,,,,0.0,0.0
805385556,,,,,697437.0,93345.0,,
805396652,,,0.0,,0.0,260462.0,,
805405313,,,,,,0.0,,
807120050,,,0.0,0.0,,,,
807394697,,,,,0.0,,,
807487137,0.0,,,,,,,
807490834,,,,,,,0.0,
807541321,,112766.0,,,,,0.0,
807627583,,319000.0,,,,,174000.0,
807635461,,,0.0,,0.0,0.0,,
807649207,1436000.0,,,,,,,
807650106,,,3801.0,20474.79,,0.0,,
807723523,,,,,0.0,0.0,,
807771712,,,,,,46996.0,,
807841234,,4661013.0,,,,,0.0,
807875851,0.0,,,,,,,0.0
807879499,,,,,0.0,,,
807902903,0.0,,,,,,0.0,0.0
807905492,,,0.0,,0.0,0.0,,
807925219,,,,,0.0,,,
807959119,0.0,,,,,,,0.0
808018949,,,0.0,,0.0,,,
808094247,0.0,,,,,,,
