,siren,activitePrincipaleUniteLegale,categorieEntreprise,dateCreationUniteLegale,division,somme_CIR,CIR2016,CIR2017,CIR2018,CIR2019,CIR2020,CIR2021,CIR2022,CIR2023
0,300170669,95.22Z,ETI,1973-01-01,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,300400207,32.50A,ETI,1967-01-01,32,26214.4,0.0,0.0,26214.4,0.0,0.0,0.0,0.0,0.0
2,300433935,22.29B,ETI,1974-01-01,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,300560588,20.11Z,ETI,1900-01-01,20,692881.0,0.0,368934.0,323947.0,0.0,0.0,0.0,0.0,0.0
4,300601648,32.50A,ETI,1973-12-18,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,300960754,72.19Z,GE,1957-01-01,72,111934000.0,0.0,16840000.0,20128000.0,19710000.0,16634000.0,19320000.0,19302000.0,0.0
6,301393161,25.94Z,ETI,1957-01-01,25,148016.0,0.0,0.0,0.0,0.0,148016.0,0.0,0.0,0.0
7,301420733,22.19Z,ETI,1900-01-01,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,301520920,25.99A,GE,1973-01-01,25,41819741.0,2514000.0,2929000.0,0.0,25683000.0,5831741.0,1927000.0,1625000.0,1310000.0
9,301571881,32.50A,ETI,1975-01-01,32,33137.79,0.0,0.0,31180.79,1957.0,0.0,0.0,0.0,0.0
10,301768859,29.32Z,ETI,1977-01-01,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,301793873,20.59Z,ETI,1975-01-01,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,301895967,25.50B,ETI,1975-01-01,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,302077169,96.03Z,ETI,1980-01-01,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,302112867,25.93Z,ETI,1974-01-01,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,302238829,22.22Z,ETI,1975-01-01,22,574000.0,257000.0,317000.0,0.0,0.0,0.0,0.0,0.0,0.0
16,302454699,71.20B,GE,1974-01-01,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,302456199,62.02A,ETI,1985-04-01,62,4251904.0,3439257.0,812647.0,0.0,0.0,0.0,0.0,0.0,0.0
18,302571732,20.30Z,ETI,1975-01-01,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,302607957,32.50B,GE,1974-01-01,32,180000.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0
20,302695614,95.11Z,ETI,1900-01-01,95,1828332.0,0.0,0.0,0.0,0.0,0.0,0.0,1419513.0,408819.0
21,303120992,20.30Z,ETI,1973-01-01,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,303411698,96.02B,ETI,1973-01-01,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,303434591,71.20B,GE,1975-01-01,71,307495.0,0.0,0.0,0.0,0.0,97140.0,97140.0,73263.0,39952.0
24,303458574,25.50B,ETI,1975-01-01,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,303513568,71.12B,GE,1980-01-01,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,303514715,71.12B,ETI,1975-01-01,71,21111.0,10362.0,10749.0,0.0,0.0,0.0,0.0,0.0,0.0
27,303527154,25.21Z,GE,1975-01-01,25,227605.0,0.0,38331.0,0.0,52732.0,0.0,35777.0,26850.0,73915.0
28,303803209,71.12B,GE,1975-01-01,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,303890602,96.04Z,GE,1975-01-01,96,583320.27,0.0,570959.27,0.0,1492.0,0.0,0.0,0.0,10869.0
30,304395973,30.20Z,GE,1900-01-01,30,254000.0,70000.0,70000.0,114000.0,0.0,0.0,0.0,0.0,0.0
31,304464084,25.11Z,ETI,1975-01-01,25,1850942.0,0.0,1009871.0,841071.0,0.0,0.0,0.0,0.0,0.0
32,304578438,21.20Z,ETI,1975-01-01,21,1202000.0,410000.0,61000.0,255000.0,92000.0,0.0,31000.0,191000.0,162000.0
33,304646458,25.93Z,ETI,1975-01-01,25,8068701.0,241750.0,295507.0,224398.0,0.0,0.0,0.0,3378277.0,3928769.0
34,304688179,71.12B,ETI,1900-01-01,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,304838352,71.12B,GE,1975-01-01,71,98328000.0,50900000.0,26282000.0,11751000.0,2947000.0,0.0,0.0,0.0,6448000.0
36,304849094,71.12B,ETI,1982-01-01,71,13628933.0,3228087.0,9739588.0,78067.0,44568.0,112594.0,152287.0,141921.0,131821.0
37,304925159,26.51A,ETI,1981-11-02,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,305036550,62.03Z,GE,1976-01-01,62,3411252.0,424120.0,0.0,675744.0,573206.0,414516.0,391049.0,431706.0,500911.0
39,305151409,21.20Z,ETI,1900-01-01,21,91982000.0,7946000.0,23777000.0,7152000.0,10611000.0,10418000.0,10116000.0,12500000.0,9462000.0
40,305241457,22.29A,ETI,1984-12-15,22,631280.0,0.0,0.0,0.0,0.0,0.0,631280.0,0.0,0.0
41,305254526,71.20B,GE,1977-01-01,71,6728000.0,0.0,1251000.0,825000.0,893000.0,742000.0,982000.0,802000.0,1233000.0
42,305394496,71.12B,GE,1976-01-01,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,305461063,71.12B,ETI,1900-01-01,71,716431.0,55281.0,48188.0,44077.0,67017.0,104526.0,121482.0,195709.0,80151.0
44,305546616,62.02B,ETI,1976-01-01,62,563158.0,0.0,0.0,0.0,0.0,280046.0,0.0,12000.0,271112.0
45,305662504,25.11Z,ETI,1976-01-01,25,53363.759999999995,25655.69,27708.07,0.0,0.0,0.0,0.0,0.0,0.0
46,305824476,71.12B,ETI,1976-01-01,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,305900219,71.12B,GE,1983-05-01,71,196260.0,49000.0,67000.0,24000.0,53000.0,0.0,0.0,0.0,3260.0
48,306064312,32.50A,ETI,1976-01-01,32,322272.0,0.0,299708.0,0.0,0.0,22564.0,0.0,0.0,0.0
49,306100421,71.12B,ETI,1976-01-01,71,333729.0,0.0,0.0,14657.0,50449.0,34892.0,55299.0,109496.0,68936.0
50,306140807,29.10Z,GE,1900-01-01,29,271944534.0,3511767.0,43175122.0,45869000.0,48783576.0,38799516.0,11130025.0,35669000.0,45006528.0
51,306246182,71.12B,ETI,1981-02-17,71,260287.0,0.0,0.0,0.0,0.0,29668.0,44580.0,93850.0,92189.0
