Unnamed: 0,siren,brevets2016,brevets2017,brevets2018,brevets2019,brevets2020,brevets2024,Famille ID,Année de Dépôt,CIR2016,CIR2017,CIR2018,CIR2019,CIR2020,activitePrincipaleUniteLegale,categorieEntreprise,dateCreationUniteLegale,division,somme_CIR
3,300560588,6.0,3.0,1.0,0.0,1.0,0.0,"55646292.0, 56108578.0, 56507603.0, 56550230.0, 58410104.0, 58413072.0, 62116463.0, 63168283.0, 63174221.0, 65494013.0, 75108335.0","2016, 2016, 2016, 2016, 2016, 2016, 2017, 2017, 2017, 2018, 2020",0.0,368934.0,323947.0,0.0,0.0,20.11Z,1,1900,20,692881.0
17,302456199,1.0,0.0,0.0,0.0,0.0,0.0,50385068.0,2016,3439257.0,812647.0,0.0,0.0,0.0,62.02A,1,1985,62,4251904.0
36,304849094,0.0,0.0,0.0,0.0,2.0,0.0,"72709569.0, 73793317.0","2020, 2020",3228087.0,9739588.0,78067.0,44568.0,112594.0,71.12B,1,1982,71,13628933.0
39,305151409,4.0,5.0,2.0,1.0,0.0,0.0,"55542921.0, 56087296.0, 56411753.0, 57485771.0, 58455320.0, 59070892.0, 59070959.0, 59656091.0, 61027802.0, 62597648.0, 63080082.0, 67262366.0","2016, 2016, 2016, 2016, 2017, 2017, 2017, 2017, 2017, 2019, 2018, 2018",7946000.0,23777000.0,7152000.0,10611000.0,10418000.0,21.20Z,1,1900,21,91982000.0
55,306926684,0.0,1.0,0.0,0.0,0.0,0.0,58707846.0,2017,0.0,0.0,750000.0,0.0,0.0,26.11Z,1,1976,26,1913000.0
60,307378489,1.0,2.0,2.0,3.0,1.0,0.0,"58054268.0, 61027854.0, 62067615.0, 63963162.0, 65023922.0, 68210943.0, 68807036.0, 69375406.0, 72266464.0","2016, 2017, 2017, 2018, 2018, 2019, 2019, 2019, 2020",1636000.0,1500000.0,1564.0,845.0,1314000.0,21.20Z,1,1976,21,7840409.0
65,308491521,9.0,4.0,1.0,2.0,6.0,0.0,"40955314.0, 41119495.0, 50290199.0, 54066102.0, 54260841.0, 54260842.0, 55022534.0, 55072990.0, 55451418.0, 58018038.0, 59381338.0, 60138467.0, 60627723.0, 65200994.0, 67001953.0, 67001954.0, 68610100.0, 71994443.0, 71994447.0, 72145318.0, 72670758.0, 72944069.0, 74184375.0, 74184377.0, 78610466.0, 78705863.0","2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2017, 2017, 2017, 2017, 2018, 2019, 2019, 2020, 2021, 2021, 2020, 2020, 2020, 2020, 2020, 2021, 2021",4363000.0,6073.0,5912.0,7400000.0,7545.0,21.20Z,1,1968,21,11856039.0
87,310967294,0.0,0.0,2.0,0.0,0.0,0.0,"62816757.0, 65685604.0","2018, 2018",332945.0,440017.0,275980.0,959774.0,997055.0,26.60Z,1,1977,26,5940169.0
94,311999833,2.0,1.0,0.0,2.0,1.0,0.0,"43661911.0, 50624693.0, 52130460.0, 68654740.0, 69468863.0, 73793541.0","2016, 2016, 2017, 2019, 2019, 2020",5356000.0,4793000.0,4818000.0,1619000.0,233000.0,21.20Z,1,1978,21,17617161.0
114,314722026,199.0,132.0,208.0,4.0,2.0,0.0,"44123337.0, 50489208.0, 52692825.0, 52824439.0, 52829144.0, 52988292.0, 53008688.0, 53008739.0, 53059248.0, 53059332.0, 53200126.0, 53200157.0, 53274604.0, 53366146.0, 53366208.0, 53404757.0, 53404759.0, 53404780.0, 53483931.0, 53483934.0, 53491610.0, 53496880.0, 53776739.0, 53776871.0, 53801064.0, 53879559.0, 53879684.0, 53879712.0, 54007818.0, 54007920.0, 54007925.0, 54066115.0, 54186213.0, 54186214.0, 54260845.0, 54329740.0, 54329788.0, 54356464.0, 54366434.0, 54478797.0, 54545295.0, 54608881.0, 54783732.0, 54783821.0, 54783845.0, 54783900.0, 54848813.0, 54937183.0, 54937185.0, 55022559.0, 55072794.0, 55072827.0, 55073046.0, 55135435.0, 55178129.0, 55236533.0, 55236680.0, 55299613.0, 55299628.0, 55346003.0, 55346019.0, 55346083.0, 55361631.0, 55361709.0, 55411524.0, 55451304.0, 55451305.0, 55451335.0, 55451449.0, 55451466.0, 55486772.0, 55486818.0, 55486844.0, 55486964.0, 55486965.0, 55542956.0, 55542979.0, 55542980.0, 55589953.0, 55590074.0, 55590097.0, 55650575.0, 55650576.0, 55752357.0, 55752358.0, 55752442.0, 55752536.0, 55752622.0, 55808669.0, 55808676.0, 55808716.0, 55862901.0, 55953201.0, 55953202.0, 55953213.0, 55953231.0, 56008671.0, 56008686.0, 56069141.0, 56101730.0, 56117854.0, 56148445.0, 56148507.0, 56148517.0, 56148534.0, 56148546.0, 56263815.0, 56263963.0, 56322023.0, 56322038.0, 56322077.0, 56372974.0, 56372985.0, 56372986.0, 56555459.0, 56555474.0, 56555479.0, 56557727.0, 56611346.0, 56611390.0, 56611435.0, 56611455.0, 56684068.0, 56684069.0, 56787563.0, 56787594.0, 56802576.0, 56855644.0, 56855699.0, 56896641.0, 56943642.0, 56943693.0, 56990532.0, 56990555.0, 57045177.0, 57113423.0, 57113441.0, 57113476.0, 57121414.0, 57137124.0, 57137181.0, 57190164.0, 57209515.0, 57209527.0, 57348774.0, 57348992.0, 57396633.0, 57485586.0, 57485613.0, 57485637.0, 57485666.0, 57485802.0, 57583247.0, 57590599.0, 57680356.0, 57750082.0, 57750083.0, 57750084.0, 57750089.0, 57750210.0, 57755362.0, 57796440.0, 57796444.0, 57909732.0, 58009872.0, 58009890.0, 58010016.0, 58010047.0, 58010080.0, 58054192.0, 58054249.0, 58213224.0, 58266676.0, 58267139.0, 58314383.0, 58314402.0, 58314411.0, 58314412.0, 58314471.0, 58347512.0, 58347682.0, 58401671.0, 58401680.0, 58401687.0, 58401695.0, 58401777.0, 58455129.0, 58455131.0, 58455160.0, 58455211.0, 58501475.0, 58501485.0, 58501494.0, 58501495.0, 58501519.0, 58501530.0, 58501629.0, 58501709.0, 58501735.0, 58547575.0, 58547596.0, 58547650.0, 58547710.0, 58609451.0, 58632515.0, 58645169.0, 58645307.0, 58645308.0, 58670070.0, 58707701.0, 58707702.0, 58707883.0, 58737630.0, 58739234.0, 58739259.0, 58779158.0, 58779211.0, 58993046.0, 58993047.0, 58993066.0, 58993067.0, 59021930.0, 59021933.0, 59031126.0, 59031141.0, 59031204.0, 59070875.0, 59153127.0, 59153128.0, 59253614.0, 59253615.0, 59253684.0, 59253741.0, 59253793.0, 59253810.0, 59296877.0, 59296996.0, 59313358.0, 59325519.0, 59381539.0, 59409514.0, 59409515.0, 59521081.0, 59562372.0, 59579770.0, 59649944.0, 59699829.0, 59745998.0, 59746066.0, 59746067.0, 59746094.0, 59746214.0, 59811434.0, 59811452.0, 59811603.0, 59811639.0, 59859184.0, 59859354.0, 59859357.0, 59930453.0, 59974537.0, 59974654.0, 60020196.0, 60081056.0, 60081061.0, 60138498.0, 60138580.0, 60182774.0, 60182787.0, 60202086.0, 60202195.0, 60202236.0, 60302218.0, 60302280.0, 60302324.0, 60382279.0, 60382298.0, 60382423.0, 60382429.0, 60382441.0, 60450782.0, 60450893.0, 60450902.0, 60515457.0, 60515559.0, 60515573.0, 60627769.0, 60812692.0, 60888480.0, 60888526.0, 60923602.0, 60923667.0, 60923766.0, 60955102.0, 60955105.0, 60955144.0, 60955203.0, 60955321.0, 61003249.0, 61027818.0, 61027856.0, 61027938.0, 61027990.0, 61028018.0, 61028019.0, 61132487.0, 61132511.0, 61132633.0, 61132676.0, 61132698.0, 61132755.0, 61132759.0, 61187401.0, 61187535.0, 61223940.0, 61223992.0, 61224002.0, 61258322.0, 61258468.0, 61258484.0, 61521586.0, 61599310.0, 61750337.0, 61750338.0, 61802037.0, 61802050.0, 61873362.0, 61873452.0, 61873533.0, 61873581.0, 61873625.0, 62017390.0, 62017497.0, 62017535.0, 62067668.0, 62067669.0, 62092073.0, 62143340.0, 62167493.0, 62222843.0, 62222997.0, 62222998.0, 62455636.0, 62455736.0, 62528485.0, 62528566.0, 62528574.0, 62528594.0, 62528676.0, 62528677.0, 62597606.0, 62597634.0, 62597635.0, 62597677.0, 62597679.0, 62684964.0, 62749023.0, 62749098.0, 62749107.0, 62751165.0, 62751184.0, 62816687.0, 62816821.0, 62816822.0, 62816825.0, 62816836.0, 62873464.0, 62874978.0, 63036115.0, 63080030.0, 63080083.0, 63080158.0, 63143232.0, 63145055.0, 63145115.0, 63209585.0, 63209602.0, 63312071.0, 63312091.0, 63312142.0, 63312159.0, 63407272.0, 63407306.0, 63407339.0, 63407388.0, 63407448.0, 63490583.0, 63490603.0, 63491666.0, 63491668.0, 63491703.0, 63491759.0, 63491765.0, 63491777.0, 63557598.0, 63557635.0, 63579410.0, 63579477.0, 63579481.0, 63579484.0, 63579492.0, 63579493.0, 63637985.0, 63638061.0, 63638088.0, 63638111.0, 63684116.0, 63722510.0, 63722519.0, 63722572.0, 63722668.0, 63834150.0, 63834183.0, 63834196.0, 63834197.0, 63834220.0, 63896350.0, 63896456.0, 63963052.0, 63963150.0, 63963213.0, 63963248.0, 63963249.0, 63963254.0, 64049350.0, 64049352.0, 64049357.0, 64328200.0, 64902061.0, 65031219.0, 65031236.0, 65031308.0, 65031394.0, 65031395.0, 65031397.0, 65031398.0, 65031399.0, 65031413.0, 65031414.0, 65200887.0, 65200903.0, 65200935.0, 65200936.0, 65200980.0, 65201042.0, 65201104.0, 65201118.0, 65201193.0, 65201249.0, 65201264.0, 65201266.0, 65201319.0, 65201321.0, 65201394.0, 65201486.0, 65201487.0, 65201567.0, 65243767.0, 65243783.0, 65243787.0, 65243834.0, 65243835.0, 65243842.0, 65243921.0, 65243936.0, 65243937.0, 65244089.0, 65244155.0, 65244193.0, 65244243.0, 65443934.0, 65444007.0, 65444018.0, 65444029.0, 65444058.0, 65494191.0, 65494386.0, 65494410.0, 65685414.0, 65685455.0, 65685481.0, 65685507.0, 65685512.0, 65685592.0, 65685676.0, 65685677.0, 65685689.0, 65685741.0, 65685742.0, 65685744.0, 65685746.0, 65685747.0, 65685748.0, 65685762.0, 65685764.0, 65763576.0, 65763577.0, 65763605.0, 65951757.0, 66041547.0, 66049301.0, 66166003.0, 66166083.0, 66166171.0, 66166199.0, 66166248.0, 66166249.0, 66218179.0, 66218226.0, 66218240.0, 66218241.0, 66218242.0, 66286384.0, 66286451.0, 66286463.0, 66286483.0, 66286484.0, 66530201.0, 66530230.0, 66530240.0, 66530257.0, 66542363.0, 66542382.0, 66542388.0, 66641085.0, 66676696.0, 66676699.0, 66690411.0, 66690425.0, 66690466.0, 66690481.0, 66776401.0, 66867186.0, 66867187.0, 66867393.0, 67262370.0, 67262378.0, 67383813.0, 67441382.0, 67514673.0, 67587796.0, 67742619.0, 68281470.0, 70614269.0, 73351362.0","2017, 2019, 2018, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2017, 2016, 2016, 2016, 2016, 2016, 2017, 2016, 2017, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2017, 2017, 2017, 2016, 2016, 2017, 2017, 2016, 2017, 2016, 2017, 2017, 2017, 2017, 2017, 2017, 2016, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2016, 2016, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2016, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2016, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2018, 2018, 2018, 2017, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2017, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2017, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2017, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2017, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2019, 2018, 2018, 2018, 2019, 2018, 2018, 2019, 2018, 2020, 2020",24318501.0,25989607.0,27720541.0,13304854.0,16153415.0,72.19Z,0,1979,72,136637448.0
