,Unnamed: 0,siren,brevets2016,brevets2017,brevets2018,brevets2019,brevets2020,CIR2016,CIR2017,CIR2018,CIR2019,CIR2020,Id_ETI,dateCreationUniteLegale,division
0,0,300170669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1973,95
1,1,300400207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26214.4,0.0,0.0,1,1967,32
2,2,300433935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1974,22
3,3,300560588,6.0,3.0,1.0,0.0,1.0,0.0,368934.0,323947.0,0.0,0.0,1,1900,20
4,4,300601648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1973,32
5,5,300960754,0.0,0.0,0.0,0.0,0.0,0.0,16840000.0,20128000.0,19710000.0,16634000.0,0,1957,72
6,6,301393161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148016.0,1,1957,25
7,7,301420733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1900,22
8,8,301520920,5.0,3.0,3.0,2.0,0.0,2514000.0,2929000.0,0.0,25683000.0,5831741.0,0,1973,25
9,9,301571881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31180.79,1957.0,0.0,1,1975,32
10,10,301768859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1977,29
11,11,301793873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1975,20
12,12,301895967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1975,25
13,13,302077169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1980,96
14,14,302112867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1974,25
15,15,302238829,0.0,0.0,0.0,0.0,0.0,257000.0,317000.0,0.0,0.0,0.0,1,1975,22
16,16,302454699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1974,71
17,17,302456199,1.0,0.0,0.0,0.0,0.0,3439257.0,812647.0,0.0,0.0,0.0,1,1985,62
18,18,302571732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1975,20
19,19,302607957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1974,32
20,20,302695614,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1900,95
21,21,303120992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1973,20
22,22,303411698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1973,96
