,siren,division,categorieEntreprise,dateCreationUniteLegale,annee,CIR,nb_brevets,Id_ETI,annee_creation
0,400054383,71,GE,1994-12-01,2016,0.0,0.0,0,1994
1,400072997,25,ETI,1995-01-18,2016,1108172.0,0.0,1,1995
2,400132627,25,ETI,1995-02-15,2016,0.0,0.0,1,1995
3,400214888,25,ETI,1995-01-25,2016,0.0,0.0,1,1995
4,400256780,20,GE,1995-03-06,2016,91000.0,0.0,0,1995
5,400305223,71,GE,1995-02-01,2016,0.0,0.0,0,1995
6,400357885,62,GE,1995-02-13,2016,544000.0,0.0,0,1995
7,400370250,71,GE,1995-03-01,2016,0.0,0.0,0,1995
8,400513602,20,ETI,1995-03-23,2016,0.0,0.0,1,1995
9,400575569,25,ETI,1995-03-29,2016,0.0,0.0,1,1995
10,400597654,20,ETI,1995-03-01,2016,0.0,0.0,1,1995
11,400604377,29,ETI,1995-02-10,2016,0.0,0.0,1,1995
12,400916979,22,ETI,1995-04-01,2016,0.0,0.0,1,1995
13,401077938,71,GE,1994-04-27,2016,47345.0,0.0,0,1994
14,401315999,25,GE,1995-03-01,2016,0.0,0.0,0,1995
15,401324843,25,ETI,1995-06-09,2016,0.0,0.0,1,1995
16,401336342,62,ETI,1995-06-01,2016,0.0,0.0,1,1995
17,401440268,62,GE,1995-05-24,2016,0.0,0.0,0,1995
18,401502661,71,ETI,1995-06-01,2016,0.0,0.0,1,1995
19,401503792,71,ETI,1995-06-26,2016,0.0,0.0,1,1995
20,401686795,25,ETI,1995-07-03,2016,0.0,0.0,1,1995
21,401791959,71,ETI,1995-07-25,2016,1468283.0,6.0,1,1995
22,401802087,26,ETI,1995-07-27,2016,359031.0,0.0,1,1995
23,401872510,32,ETI,1995-07-15,2016,0.0,0.0,1,1995
24,401878699,25,ETI,1995-08-01,2016,0.0,0.0,1,1995
25,402011175,21,ETI,1995-08-16,2016,953000.0,0.0,1,1995
26,402112403,71,GE,1995-08-24,2016,0.0,0.0,0,1995
27,402114474,22,ETI,1995-09-01,2016,0.0,0.0,1,1995
28,402125033,62,ETI,1995-09-01,2016,0.0,0.0,1,1995
29,402171656,25,ETI,1995-09-01,2016,0.0,0.0,1,1995
30,402207963,32,ETI,1995-09-11,2016,0.0,0.0,1,1995
31,402222483,21,GE,1995-09-12,2016,14136213.0,0.0,0,1995
32,402237671,71,ETI,1995-09-15,2016,0.0,0.0,1,1995
33,402250427,71,ETI,1995-09-01,2016,434761.0,0.0,1,1995
34,402261234,26,ETI,1995-09-01,2016,303000.0,0.0,1,1995
35,402336085,62,ETI,1994-11-01,2016,200000.0,0.0,1,1994
36,402460174,71,GE,1995-10-02,2016,0.0,0.0,0,1995
37,402466643,62,GE,1995-10-07,2016,0.0,0.0,0,1995
38,402473649,71,GE,1995-10-01,2016,0.0,0.0,0,1995
39,402523088,26,ETI,1995-10-06,2016,2000449.0,7.0,1,1995
40,402565147,25,GE,1995-10-10,2016,0.0,0.0,0,1995
41,402674329,21,ETI,1995-11-01,2016,0.0,0.0,1,1995
42,402790133,22,ETI,1995-11-02,2016,33900.0,0.0,1,1995
43,402896666,25,ETI,1995-11-09,2016,0.0,0.0,1,1995
44,402976088,62,GE,1995-11-20,2016,46000.0,0.0,0,1995
45,403009483,71,GE,1995-11-01,2016,114133.0,0.0,0,1995
46,403038037,25,GE,1995-12-05,2016,278000.0,3.0,0,1995
47,403090426,22,ETI,1995-11-29,2016,0.0,0.0,1,1995
48,403092216,26,ETI,1995-12-26,2016,1788459.0,0.0,1,1995
49,403119431,29,ETI,1995-11-28,2016,418300.0,0.0,1,1995
50,403162670,71,ETI,1996-01-01,2016,0.0,0.0,1,1996
51,403180805,20,GE,1995-12-15,2016,1411976.0,2.0,0,1995
52,403184120,71,GE,1995-12-20,2016,0.0,0.0,0,1995
53,403184344,25,ETI,1995-12-21,2016,0.0,0.0,1,1995
54,403256944,71,ETI,1995-12-26,2016,6.4,40.0,1,1995
55,403283591,62,GE,1995-12-18,2016,0.0,0.0,0,1995
56,403284805,96,ETI,1996-01-01,2016,0.0,0.0,1,1996
57,403293103,71,ETI,1995-12-12,2016,0.0,0.0,1,1995
58,403340029,62,GE,1996-01-01,2016,0.0,0.0,0,1996
59,403420656,25,ETI,1996-02-01,2016,0.0,0.0,1,1996
60,403505688,71,GE,1995-11-08,2016,2556.0,0.0,0,1995
61,403519689,62,ETI,1996-02-01,2016,50145.0,0.0,1,1996
62,403649130,25,ETI,1996-01-22,2016,0.0,0.0,1,1996
63,403719917,25,ETI,1996-01-02,2016,0.0,0.0,1,1996
64,403748379,26,GE,1995-12-25,2016,0.0,0.0,0,1995
65,403778079,71,ETI,1995-12-22,2016,0.0,0.0,1,1995
66,404000218,32,ETI,1995-12-20,2016,0.0,0.0,1,1995
67,404191447,71,GE,1996-03-15,2016,5879000.0,0.0,0,1996
68,404324790,22,ETI,1996-04-01,2016,0.0,0.0,1,1996
69,404536922,62,ETI,1996-03-20,2016,905000.0,0.0,1,1996
70,404840639,26,ETI,1996-02-15,2016,0.0,0.0,1,1996
71,404853186,25,GE,1996-02-02,2016,0.0,0.0,0,1996
72,404910994,30,ETI,1996-04-01,2016,0.0,0.0,1,1996
73,405035981,25,ETI,1996-04-01,2016,0.0,0.0,1,1996
74,405158312,72,GE,1996-04-01,2016,9506519.0,0.0,0,1996
75,405316647,71,ETI,1996-05-01,2016,0.0,0.0,1,1996
76,405398736,62,ETI,1996-05-20,2016,0.0,0.0,1,1996
77,407530641,62,ETI,1995-10-01,2016,0.0,0.0,1,1995
78,407634542,21,ETI,1996-12-31,2016,2240000.0,0.0,1,1996
79,407675958,26,ETI,1996-05-24,2016,0.0,0.0,1,1996
80,407697366,25,ETI,1996-06-10,2016,0.0,0.0,1,1996
81,408067262,22,ETI,1996-06-13,2016,0.0,0.0,1,1996
82,408203602,62,ETI,1996-07-01,2016,0.0,0.0,1,1996
83,408342616,72,GE,1996-07-11,2016,0.0,0.0,0,1996
84,408455426,25,GE,1996-07-24,2016,0.0,0.0,0,1996
85,408468841,20,ETI,1996-07-29,2016,0.0,0.0,1,1996
86,408484277,25,ETI,1996-07-31,2016,0.0,0.0,1,1996
87,408492304,20,ETI,1996-07-01,2016,0.0,0.0,1,1996
88,408492544,71,GE,1996-07-31,2016,0.0,0.0,0,1996
89,408629343,25,ETI,1996-07-15,2016,40749.0,0.0,1,1996
90,408709897,25,ETI,1996-08-27,2016,0.0,0.0,1,1996
91,408720282,32,ETI,1996-09-01,2016,3883276.0,23.0,1,1996
92,408832301,62,ETI,1996-10-01,2016,0.0,0.0,1,1996
93,408888659,71,GE,1996-08-10,2016,0.0,0.0,0,1996
94,409122967,71,GE,1996-09-19,2016,0.0,0.0,0,1996
95,409166840,25,ETI,1996-09-25,2016,0.0,1.0,1,1996
96,409214244,62,GE,1996-09-01,2016,0.0,0.0,0,1996
97,409463866,96,GE,1996-10-15,2016,0.0,0.0,0,1996
98,409491685,20,GE,1996-10-09,2016,140000.0,0.0,0,1996
99,409514692,29,GE,1996-10-01,2016,0.0,0.0,0,1996
100,409578192,71,GE,1996-10-11,2016,0.0,0.0,0,1996
101,409612785,32,ETI,1996-11-02,2016,0.0,2.0,1,1996
102,409706520,71,GE,1996-07-01,2016,0.0,0.0,0,1996
103,409714623,62,ETI,1996-11-07,2016,0.0,0.0,1,1996
104,409722956,29,ETI,1996-10-31,2016,812922.0,5.0,1,1996
105,409734340,22,ETI,1996-10-14,2016,0.0,0.0,1,1996
106,409767720,20,GE,1996-11-06,2016,0.0,0.0,0,1996
107,409768520,72,GE,1996-11-08,2016,28300000.0,3.0,0,1996
108,409775202,71,ETI,1996-10-15,2016,0.0,0.0,1,1996
109,409783438,20,ETI,1996-10-11,2016,0.0,0.0,1,1996
